Number of nodes 155 
     0 :  7.1250000e+01  0.0000000e+00 
     1 :  6.3704700e+01 -3.1910400e+01 
     2 :  5.0381400e+01 -5.0381400e+01 
     3 :  2.2482000e+01 -6.7610100e+01 
     4 :  0.0000000e+00 -7.1250000e+01 
     5 : -3.1910400e+01 -6.3704700e+01 
     6 : -5.0381400e+01 -5.0381400e+01 
     7 : -6.7610100e+01 -2.2482000e+01 
     8 : -7.1250000e+01  0.0000000e+00 
     9 : -6.3704700e+01  3.1910400e+01 
    10 : -5.0381400e+01  5.0381400e+01 
    11 : -2.2482000e+01  6.7610100e+01 
    12 :  0.0000000e+00  7.1250000e+01 
    13 :  3.1910400e+01  6.3704700e+01 
    14 :  5.0381400e+01  5.0381400e+01 
    15 :  6.7610100e+01  2.2482000e+01 
    16 :  5.7043050e+01 -4.1145900e+01 
    17 :  1.1241000e+01 -6.9430050e+01 
    18 : -4.1145900e+01 -5.7043050e+01 
    19 : -6.9430050e+01 -1.1241000e+01 
    20 : -5.7043050e+01  4.1145900e+01 
    21 : -1.1241000e+01  6.9430050e+01 
    22 :  4.1145900e+01  5.7043050e+01 
    23 :  6.9430050e+01  1.1241000e+01 
    24 :  8.9542313e+01 -3.0225360e-02 
    25 :  1.0590541e+02 -7.7766478e+00 
    26 :  1.1877005e+02 -2.0704846e+01 
    27 :  1.1546550e+02 -3.4680931e+01 
    28 :  9.8173038e+01 -4.0478250e+01 
    29 :  8.0073415e+01 -4.0075857e+01 
    30 :  6.3294610e+01 -6.3337332e+01 
    31 :  6.9387569e+01 -8.0385243e+01 
    32 :  6.9342859e+01 -9.8623494e+01 
    33 :  5.7123188e+01 -1.0616945e+02 
    34 :  4.0796344e+01 -9.8041137e+01 
    35 :  2.8282528e+01 -8.4958333e+01 
    36 : -3.0225360e-02 -8.9542313e+01 
    37 : -7.7766478e+00 -1.0590541e+02 
    38 : -2.0704846e+01 -1.1877005e+02 
    39 : -3.4680931e+01 -1.1546550e+02 
    40 : -4.0478250e+01 -9.8173038e+01 
    41 : -4.0075857e+01 -8.0073415e+01 
    42 : -6.3337332e+01 -6.3294610e+01 
    43 : -8.0385243e+01 -6.9387569e+01 
    44 : -9.8623494e+01 -6.9342859e+01 
    45 : -1.0616945e+02 -5.7123188e+01 
    46 : -9.8041137e+01 -4.0796344e+01 
    47 : -8.4958333e+01 -2.8282528e+01 
    48 : -8.9542313e+01  3.0225360e-02 
    49 : -1.0590541e+02  7.7766478e+00 
    50 : -1.1877005e+02  2.0704846e+01 
    51 : -1.1546550e+02  3.4680931e+01 
    52 : -9.8173038e+01  4.0478250e+01 
    53 : -8.0073415e+01  4.0075857e+01 
    54 : -6.3294610e+01  6.3337332e+01 
    55 : -6.9387569e+01  8.0385243e+01 
    56 : -6.9342859e+01  9.8623494e+01 
    57 : -5.7123188e+01  1.0616945e+02 
    58 : -4.0796344e+01  9.8041137e+01 
    59 : -2.8282528e+01  8.4958333e+01 
    60 :  3.0225360e-02  8.9542313e+01 
    61 :  7.7766478e+00  1.0590541e+02 
    62 :  2.0704846e+01  1.1877005e+02 
    63 :  3.4680931e+01  1.1546550e+02 
    64 :  4.0478250e+01  9.8173038e+01 
    65 :  4.0075857e+01  8.0073415e+01 
    66 :  6.3337332e+01  6.3294610e+01 
    67 :  8.0385243e+01  6.9387569e+01 
    68 :  9.8623494e+01  6.9342859e+01 
    69 :  1.0616945e+02  5.7123188e+01 
    70 :  9.8041137e+01  4.0796344e+01 
    71 :  8.4958333e+01  2.8282528e+01 
    72 : -4.1508132e-01  4.8326077e+00 
    73 :  4.3389725e+01 -7.0263269e+01 
    74 : -7.0347136e+01 -4.3515516e+01 
    75 : -4.3389725e+01  7.0263269e+01 
    76 :  7.0263269e+01  4.3389725e+01 
    77 :  8.1715850e+01 -2.1308942e+01 
